EmployeeID,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
14,2,3,1,2,2,47,Yes,Non-Travel,Research & Development,1,1,Medical,1,Male,1,Research Scientist,Married,57620,1,Y,11,8,2,10,4,10,9,9
15,3,3,4,4,2,28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,1,Manufacturing Director,Married,25920,1,Y,14,8,0,5,2,5,0,4
16,3,3,3,4,4,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,2,Healthcare Representative,Married,53460,4,Y,11,8,0,7,2,5,0,1
17,2,3,4,3,4,21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Male,1,Laboratory Technician,Single,42130,1,Y,12,8,3,3,3,3,1,0
18,3,3,1,4,3,37,No,Non-Travel,Research & Development,1,3,Medical,1,Male,2,Sales Executive,Divorced,41270,2,Y,13,8,1,15,2,5,0,2
19,2,3,2,2,2,35,No,Travel_Rarely,Sales,7,4,Life Sciences,1,Male,1,Sales Representative,Divorced,24380,7,Y,16,8,0,10,5,7,6,2
20,3,3,1,1,3,38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Female,1,Manager,Divorced,68700,1,Y,11,8,1,8,5,8,7,7
21,3,3,3,2,1,26,No,Travel_Frequently,Research & Development,1,4,Other,1,Male,2,Laboratory Technician,Divorced,104470,1,Y,18,8,0,6,3,6,1,4
22,2,4,1,2,2,50,No,Travel_Rarely,Sales,8,4,Life Sciences,1,Male,1,Research Scientist,Divorced,96670,3,Y,23,8,0,28,2,10,1,6
23,3,3,3,3,2,53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,1,Female,2,Research Scientist,Married,21480,3,Y,11,8,0,21,2,5,1,3
24,1,3,2,3,3,42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Male,1,Manufacturing Director,Married,89260,1,Y,14,8,0,NA,4,20,11,6
25,3,3,2,4,2,29,No,Travel_Frequently,Research & Development,16,4,Medical,1,Male,1,Laboratory Technician,Single,65130,1,Y,11,8,1,10,2,10,0,9
26,3,3,2,4,3,55,No,Travel_Rarely,Research & Development,1,4,Other,1,Female,1,Research Scientist,Married,67990,3,Y,11,8,0,12,2,10,0,8
27,3,4,1,1,3,26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Female,1,Manager,Married,162910,1,Y,22,8,0,5,3,5,3,3
28,3,3,4,4,3,37,No,Travel_Rarely,Sales,5,1,Marketing,1,Male,1,Research Scientist,Single,27050,1,Y,11,8,0,17,2,17,5,7
29,2,3,4,3,1,44,Yes,Travel_Frequently,Research & Development,1,2,Medical,1,Male,2,Research Scientist,Divorced,103330,3,Y,14,8,1,19,2,1,0,0
30,2,3,4,4,3,38,No,Travel_Rarely,Sales,2,3,Marketing,1,Female,1,Manager,Divorced,44480,9,Y,12,8,0,10,3,2,1,2
31,2,3,1,2,3,26,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,Male,3,Research Scientist,Divorced,68540,2,Y,11,8,0,5,5,3,0,2
32,2,3,4,4,3,28,No,Travel_Rarely,Research & Development,7,3,Other,1,Male,1,Human Resources,Single,96370,1,Y,13,8,0,5,6,5,0,2
33,3,3,3,1,3,49,No,Travel_Frequently,Research & Development,1,1,Medical,1,Female,2,Research Scientist,Single,35910,9,Y,13,8,0,22,2,3,1,2
34,3,3,3,2,3,36,No,Travel_Rarely,Sales,5,3,Technical Degree,1,Male,3,Sales Executive,Single,54050,4,Y,14,8,0,10,2,8,7,7
35,3,3,4,2,2,31,No,Travel_Frequently,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Divorced,46840,1,Y,16,8,1,2,4,2,2,2
36,3,3,4,4,3,26,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,Male,2,Manager,Single,157870,1,Y,12,8,2,8,5,8,7,4
37,3,3,2,4,2,37,No,Travel_Frequently,Sales,9,1,Marketing,1,Male,1,Laboratory Technician,Married,15140,1,Y,14,8,0,4,3,4,1,2
38,3,3,3,2,4,42,No,Travel_Frequently,Sales,2,2,Marketing,1,Male,3,Research Director,Married,29560,5,Y,13,8,0,23,2,20,4,8
39,2,3,3,3,3,18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,1,Sales Executive,Single,23350,1,Y,14,8,2,0,3,0,0,0
40,2,3,3,2,2,35,No,Travel_Rarely,Sales,20,2,Life Sciences,1,Male,1,Laboratory Technician,Married,51540,0,Y,19,8,0,12,2,11,6,9
41,2,3,3,NA,3,36,No,Travel_Frequently,Research & Development,8,3,Other,1,Female,3,Sales Executive,Married,69620,4,Y,12,8,2,4,2,1,0,0
42,2,3,4,2,3,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,2,Laboratory Technician,Divorced,56750,5,Y,13,8,0,13,2,4,1,2
43,3,3,4,2,3,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,Male,1,Laboratory Technician,Single,23790,1,Y,12,8,0,22,6,22,0,4
44,3,3,4,3,3,18,No,Travel_Rarely,Sales,7,3,Life Sciences,1,Male,1,Research Scientist,Single,38120,1,Y,15,8,0,0,3,0,0,0
45,2,4,2,1,3,28,No,Travel_Rarely,Research & Development,9,3,Medical,1,Male,1,Sales Representative,Single,46480,0,Y,23,8,2,9,2,8,0,7
46,3,3,2,4,2,31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,Male,1,Manufacturing Director,Married,29360,4,Y,12,8,1,10,2,8,7,7
47,3,4,3,4,2,39,No,Travel_Rarely,Sales,5,4,Marketing,1,Female,2,Human Resources,Divorced,21050,0,Y,20,8,0,19,3,18,3,7
48,3,4,2,2,3,36,No,Non-Travel,Research & Development,5,4,Life Sciences,1,Male,1,Sales Executive,Married,85780,7,Y,21,8,0,11,4,9,0,8
49,3,4,4,3,2,32,No,Travel_Rarely,Sales,2,3,Marketing,1,Male,2,Laboratory Technician,Married,27060,1,Y,21,8,1,13,4,13,4,8
50,2,3,1,2,3,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Female,3,Research Scientist,Married,63840,3,Y,19,8,2,19,4,10,0,1
51,2,3,4,3,3,58,No,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,2,Manufacturing Director,Divorced,39680,2,Y,13,8,2,12,3,5,1,2
52,2,3,3,4,3,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,1,Female,3,Research Scientist,Married,99070,0,Y,13,8,1,6,3,5,0,3
53,3,4,1,1,3,31,No,Travel_Rarely,Sales,7,4,Marketing,1,Male,2,Sales Executive,Married,132250,3,Y,21,8,1,9,2,2,1,0
54,3,3,1,1,3,45,No,Travel_Frequently,Research & Development,3,1,Medical,1,Female,1,Sales Executive,Divorced,35400,1,Y,13,8,0,24,6,24,9,11
55,3,3,3,4,1,31,No,Travel_Rarely,Sales,16,4,Marketing,1,Female,2,Research Scientist,Divorced,28040,0,Y,19,8,2,3,0,2,2,2
56,3,3,4,2,3,33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Male,4,Research Director,Married,193920,6,Y,12,8,1,12,3,10,8,8
57,3,4,3,1,3,39,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,1,Sales Executive,Married,196650,1,Y,22,8,1,21,6,21,11,10
58,3,3,3,4,3,43,No,Travel_Frequently,Research & Development,7,4,Medical,1,Male,4,Research Scientist,Single,24390,0,Y,15,8,0,9,2,8,1,7
59,3,4,3,3,3,49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Manufacturing Director,Single,73140,7,Y,22,8,0,25,2,7,0,7
60,3,3,3,2,2,52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,1,Female,2,Research Scientist,Married,47740,2,Y,18,8,1,11,2,8,7,7
61,3,4,3,2,2,27,No,Travel_Rarely,Research & Development,15,4,Medical,1,Male,3,Research Scientist,Single,39020,1,Y,22,8,0,4,2,4,1,2
62,4,3,3,2,3,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Research Scientist,Married,26620,1,Y,11,8,1,13,6,13,11,9
63,4,3,4,3,3,27,No,Travel_Rarely,Research & Development,13,2,Medical,1,Female,4,Research Director,Single,28560,1,Y,12,8,2,5,5,5,0,4
64,4,3,4,4,3,31,No,Travel_Rarely,Sales,24,3,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4,Y,11,8,3,13,4,7,1,7
65,3,3,1,4,2,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,Male,2,Healthcare Representative,Single,24720,7,Y,13,8,0,10,2,7,0,7
66,2,3,1,4,2,28,Yes,Travel_Rarely,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Married,56730,5,Y,14,8,1,5,4,3,2,2
67,3,3,4,4,3,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,Female,4,Research Director,Married,41970,1,Y,13,8,0,11,3,10,1,9
68,2,3,3,3,3,31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Female,1,Manager,Married,97130,1,Y,17,8,0,10,5,10,8,9
69,3,3,3,4,3,39,No,Travel_Frequently,Research & Development,19,4,Medical,1,Female,1,Research Scientist,Married,20620,1,Y,13,8,0,21,4,21,13,3
70,3,3,4,3,2,39,Yes,Travel_Rarely,Research & Development,1,1,Medical,1,Female,1,Laboratory Technician,Married,42840,4,Y,17,8,1,12,0,1,0,0
71,3,3,2,4,2,33,No,Travel_Frequently,Sales,4,2,Life Sciences,1,Male,4,Research Scientist,Single,47880,3,Y,11,8,1,9,0,7,0,1
72,4,4,4,3,3,47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,Female,2,Healthcare Representative,Married,59060,4,Y,23,8,0,21,4,3,1,1
73,3,3,3,3,4,43,No,Travel_Frequently,Research & Development,14,3,Medical,1,Female,5,Research Director,Divorced,38860,1,Y,17,8,2,9,2,9,0,0
74,3,3,3,2,3,27,No,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,1,Research Director,Married,168230,0,Y,17,8,0,6,3,5,1,4
75,3,3,4,3,2,54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,Male,2,Research Scientist,Single,29330,3,Y,12,8,2,20,2,4,0,3
76,3,4,3,1,2,43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,Female,2,Manager,Married,65000,8,Y,23,8,0,10,3,1,0,0
77,3,3,4,4,3,45,No,Travel_Rarely,Sales,3,1,Marketing,1,Female,1,Sales Executive,Married,171740,9,Y,14,8,1,12,6,10,9,8
78,3,3,2,4,2,40,No,Travel_Rarely,Research & Development,2,4,Other,1,Male,4,Research Scientist,Married,50330,2,Y,14,8,2,6,6,4,0,2
79,3,3,2,1,2,29,Yes,Travel_Rarely,Research & Development,29,3,Medical,1,Female,1,Research Scientist,Married,23070,1,Y,13,8,1,7,0,7,0,7
80,3,4,2,4,3,29,No,Travel_Rarely,Human Resources,8,3,Medical,1,Male,3,Sales Representative,Single,25870,0,Y,22,8,2,4,3,3,2,2
81,2,3,4,3,3,30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Male,2,Research Scientist,Divorced,55070,1,Y,12,8,2,10,2,10,1,2
82,2,3,2,2,3,27,No,Travel_Rarely,Research & Development,11,2,Medical,1,Male,1,Manager,Married,43930,1,Y,18,8,1,8,2,8,0,7
83,3,3,4,4,2,37,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,2,Healthcare Representative,Divorced,133480,7,Y,14,8,0,8,4,6,0,4
84,3,3,3,4,3,38,No,Travel_Rarely,Research & Development,28,4,Medical,1,Male,1,Laboratory Technician,Divorced,65830,0,Y,12,8,0,12,1,11,2,9
85,3,3,3,4,NA,31,No,Travel_Rarely,Research & Development,6,3,Medical,1,Female,3,Manager,Single,81030,1,Y,15,8,1,11,5,11,4,10
86,3,3,4,2,3,29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,3,Sales Executive,Divorced,39780,1,Y,11,8,0,7,0,7,1,7
87,4,3,3,2,3,35,No,Travel_Rarely,Sales,16,2,Technical Degree,1,Male,3,Manager,Single,25440,0,Y,13,8,1,17,3,16,0,13
88,2,4,3,4,2,23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,Male,1,Manufacturing Director,Divorced,53990,1,Y,23,8,0,4,2,4,0,2
89,3,3,4,2,3,41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,Female,1,Laboratory Technician,Single,54870,6,Y,19,8,2,8,0,5,1,2
90,4,3,2,3,3,47,No,Travel_Frequently,Sales,1,3,Medical,1,Female,2,Laboratory Technician,Single,68340,3,Y,16,8,1,5,2,0,0,0
91,1,4,1,4,3,42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,1,Manager,Single,10910,2,Y,22,8,0,16,0,1,0,0
92,2,4,4,3,2,29,No,Non-Travel,Sales,22,4,Marketing,1,Male,2,Human Resources,Married,57360,1,Y,22,8,0,4,1,4,0,2
93,2,3,3,3,3,42,No,Travel_Rarely,Sales,7,4,Medical,1,Male,3,Research Scientist,Divorced,22260,0,Y,12,8,1,4,3,3,1,0
94,3,3,3,2,3,32,No,Travel_Rarely,Research & Development,2,3,Medical,1,Male,2,Research Scientist,Married,57470,1,Y,13,8,0,8,0,8,0,7
95,2,3,1,3,1,48,No,Travel_Rarely,Sales,13,4,Medical,1,Male,4,Sales Executive,Married,98540,3,Y,16,8,1,15,2,0,0,0
96,3,3,3,1,3,37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,1,Male,2,Manufacturing Director,Divorced,54670,4,Y,12,8,0,13,2,7,6,7
97,3,4,4,3,4,30,No,Non-Travel,Sales,25,4,Other,1,Male,1,Healthcare Representative,Married,53800,7,Y,21,8,1,4,0,2,2,2
98,3,3,3,3,3,26,No,Travel_Rarely,Sales,28,3,Medical,1,Female,5,Laboratory Technician,Married,51510,1,Y,15,8,3,8,3,8,7,7
99,3,3,1,4,3,42,No,Travel_Rarely,Sales,2,2,Medical,1,Female,1,Laboratory Technician,Single,21330,3,Y,13,8,2,14,2,1,0,0
100,2,3,1,2,3,21,Yes,Travel_Frequently,Research & Development,9,3,Medical,1,Female,4,Manufacturing Director,Single,178750,1,Y,12,8,0,3,5,3,1,2
101,1,4,4,4,3,36,No,Non-Travel,Human Resources,28,3,Human Resources,1,Male,2,Laboratory Technician,Single,24320,4,Y,22,8,0,7,4,1,0,0
102,3,3,1,4,3,36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,Female,2,Research Scientist,Married,47710,4,Y,13,8,1,16,2,13,1,12
103,1,3,4,3,3,57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,Male,5,Research Scientist,Married,191610,2,Y,18,8,0,15,2,3,1,2
104,3,3,4,3,3,40,No,Travel_Rarely,Research & Development,8,3,Other,1,Male,2,Sales Executive,Married,50870,3,Y,14,8,1,10,3,7,1,7
105,1,3,1,4,2,21,No,Non-Travel,Research & Development,1,5,Life Sciences,1,Female,2,Manager,Single,28630,1,Y,14,8,0,3,2,3,2,2
106,1,4,4,3,3,33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,1,Female,5,Manager,Single,55610,1,Y,21,8,1,1,3,1,0,0
107,4,3,3,1,3,37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,Male,4,Research Scientist,Married,21440,6,Y,19,8,0,17,3,5,0,3
108,3,3,3,3,4,46,No,Non-Travel,Sales,2,4,Marketing,1,Female,2,Laboratory Technician,Married,30650,2,Y,11,8,0,7,3,1,0,0
109,4,3,1,2,3,41,Yes,Travel_Frequently,Research & Development,16,1,Medical,1,Female,1,Research Scientist,Single,28100,1,Y,11,8,0,8,3,8,7,7
110,3,3,4,4,3,50,No,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,Laboratory Technician,Single,98880,6,Y,15,8,0,20,2,4,1,3
111,2,4,3,3,3,40,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,Female,1,Healthcare Representative,Married,86280,2,Y,20,8,0,8,2,6,1,0
112,3,4,NA,2,3,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,4,Human Resources,Single,28670,0,Y,24,8,0,3,5,2,2,2
113,3,3,3,2,3,21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,1,Male,1,Laboratory Technician,Single,53730,1,Y,12,8,1,1,2,1,0,0
114,4,3,4,4,3,29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,2,Research Director,Single,66670,9,Y,12,8,1,6,6,3,1,2
115,3,3,3,2,3,35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,Female,3,Sales Executive,Single,50030,9,Y,15,8,0,10,2,1,0,0
116,3,3,4,2,3,27,No,Travel_Rarely,Sales,2,3,Life Sciences,1,Male,1,Sales Executive,Divorced,23670,NA,Y,12,8,1,5,2,5,0,4
117,2,3,2,4,3,28,No,Travel_Rarely,Research & Development,2,2,Medical,1,Male,3,Manager,Single,28580,1,Y,12,8,0,7,2,7,0,7
118,3,3,2,3,3,49,No,Travel_Rarely,Sales,2,3,Technical Degree,1,Male,2,Manufacturing Director,Single,52040,8,Y,14,8,1,26,3,5,0,0
119,3,4,3,4,2,51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,1,Sales Executive,Married,41050,4,Y,22,8,1,18,2,7,0,7
120,3,3,4,3,3,36,No,Travel_Rarely,Sales,15,2,Life Sciences,1,Male,1,Sales Executive,Married,96790,4,Y,12,8,0,6,1,2,2,2
121,3,4,1,4,2,34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,1,Male,1,Sales Representative,Single,56170,8,Y,25,8,1,9,3,5,0,4
122,3,3,3,4,3,55,No,Travel_Rarely,Sales,26,3,Marketing,1,Male,1,Laboratory Technician,Single,104480,2,Y,13,8,0,30,3,5,1,2
123,3,3,4,3,4,24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,5,Manager,Divorced,28970,1,Y,18,8,3,5,4,5,0,3
124,3,3,3,2,3,30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,Female,2,Manager,Married,59680,1,Y,13,8,0,1,3,1,0,0
125,3,3,3,NA,3,26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,1,Male,2,Manager,Single,75100,0,Y,18,8,3,7,3,6,0,4
126,2,3,1,2,3,22,No,Travel_Rarely,Research & Development,16,5,Other,1,Male,1,Research Scientist,Married,29910,1,Y,19,8,2,2,3,2,1,2
127,3,3,2,3,3,36,No,Travel_Rarely,Research & Development,1,3,Medical,1,Female,5,Healthcare Representative,Married,196360,1,Y,12,8,1,10,3,10,9,0
128,2,3,3,4,3,30,Yes,Travel_Frequently,Sales,3,2,Marketing,1,Male,3,Research Scientist,Single,11290,9,Y,19,8,0,3,2,1,0,0
129,3,3,4,1,2,37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,1,Male,1,Sales Executive,Divorced,133410,1,Y,14,8,1,18,3,18,12,17
130,2,3,4,2,3,40,No,Travel_Rarely,Research & Development,6,2,Medical,1,Male,3,Research Scientist,Divorced,43320,7,Y,14,8,2,8,3,5,1,3
131,2,3,2,1,3,42,No,Travel_Rarely,Research & Development,2,3,Medical,1,Female,4,Manager,Divorced,110310,3,Y,12,8,1,8,2,5,1,2
132,2,3,3,2,2,37,No,Travel_Rarely,Sales,9,1,Marketing,1,Male,3,Sales Executive,Single,44400,2,Y,11,8,1,18,3,1,0,1
133,3,3,1,2,3,43,No,Travel_Rarely,Sales,10,2,Life Sciences,1,Female,1,Sales Executive,Divorced,46170,1,Y,11,8,0,25,2,25,3,9
134,2,3,2,3,3,40,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Laboratory Technician,Married,26470,6,Y,13,8,0,20,2,1,0,0
135,2,4,1,1,2,54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,1,Female,2,Manufacturing Director,Married,63230,4,Y,23,8,1,24,2,4,1,2
136,3,4,3,3,3,34,No,Non-Travel,Research & Development,28,3,Medical,1,Male,1,Laboratory Technician,Married,56770,9,Y,20,8,1,6,3,3,1,2
137,2,3,2,1,1,31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,Male,3,Sales Executive,Married,21870,1,Y,15,8,1,13,2,13,3,12
138,2,3,4,4,3,43,No,Travel_Frequently,Sales,14,3,Life Sciences,1,Female,1,Manufacturing Director,Married,37480,7,Y,14,8,2,NA,3,3,1,2
139,3,3,3,3,3,43,No,Travel_Rarely,Sales,27,4,Life Sciences,1,Male,2,Sales Representative,Divorced,39770,4,Y,18,8,1,8,3,5,0,2
140,4,3,2,4,3,25,No,Travel_Rarely,Human Resources,7,2,Human Resources,1,Male,1,Manufacturing Director,Single,86330,1,Y,19,8,1,5,2,5,1,3
141,2,4,2,3,3,37,No,Non-Travel,Research & Development,1,3,Medical,1,Male,3,Laboratory Technician,Married,20080,3,Y,22,8,0,15,5,13,10,7
142,3,3,4,1,3,31,No,Travel_Rarely,Research & Development,24,1,Medical,1,Male,3,Laboratory Technician,Married,44400,1,Y,13,8,1,4,2,4,3,2
143,1,4,2,3,3,39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,1,Female,1,Sales Executive,Divorced,30670,1,Y,20,8,1,21,5,21,1,6
144,3,3,3,1,2,56,No,Travel_Frequently,Research & Development,20,4,Life Sciences,1,Female,3,Sales Executive,Married,53210,9,Y,14,8,0,36,1,7,7,7
145,3,3,2,3,3,30,No,Travel_Rarely,Sales,5,4,Medical,1,Female,2,Manufacturing Director,Single,54100,0,Y,17,8,1,6,2,5,4,4
146,2,3,2,1,3,41,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,Female,3,Research Scientist,Married,27820,1,Y,14,8,0,10,2,10,0,7
147,2,3,3,1,3,28,No,Travel_Rarely,Research & Development,7,3,Medical,1,Male,3,Healthcare Representative,Divorced,119570,1,Y,13,8,0,10,2,10,1,8
148,3,3,1,1,3,25,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Female,3,Laboratory Technician,Married,26600,5,Y,13,8,0,6,3,2,0,2
149,2,4,4,3,3,52,No,Travel_Rarely,Research & Development,26,2,Life Sciences,1,Female,2,Sales Representative,Married,33750,2,Y,21,8,0,28,2,5,0,4
150,3,3,1,4,2,45,No,Travel_Rarely,Research & Development,2,3,Medical,1,Female,1,Sales Executive,Married,50980,3,Y,14,8,1,8,4,2,0,2
151,3,3,4,4,1,52,No,Travel_Rarely,Research & Development,12,3,Medical,1,Male,2,Research Scientist,Married,48780,2,Y,11,8,1,31,3,5,1,4
152,2,3,1,3,3,42,No,Travel_Frequently,Sales,10,3,Marketing,1,Female,2,Healthcare Representative,Divorced,28370,2,Y,13,8,1,19,0,5,0,2
153,3,4,3,4,3,30,No,Travel_Rarely,Sales,25,3,Marketing,1,Male,1,Sales Executive,Single,24060,2,Y,20,8,1,11,5,5,0,2
154,3,3,1,1,1,60,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Female,1,Manufacturing Director,Married,22690,5,Y,18,8,1,33,4,29,11,10
155,2,3,3,3,2,46,No,Travel_Rarely,Sales,19,4,Marketing,1,Female,1,Sales Executive,Divorced,41080,2,Y,14,8,0,19,5,10,0,8
156,3,3,4,4,4,42,No,Travel_Frequently,Research & Development,18,4,Technical Degree,1,Male,4,Sales Executive,Married,132060,0,Y,13,8,2,7,2,6,0,4
157,2,3,1,2,3,24,Yes,Travel_Rarely,Research & Development,27,2,Medical,1,Male,1,Research Scientist,Single,104220,1,Y,17,8,1,6,0,5,1,4
158,3,4,4,3,2,34,Yes,Travel_Frequently,Research & Development,5,3,Medical,1,Male,2,Research Scientist,Divorced,137440,0,Y,20,8,1,3,3,2,1,0
159,3,3,4,4,3,38,No,Travel_Frequently,Sales,3,3,Marketing,1,Female,2,Sales Executive,Married,49070,1,Y,11,8,1,1,3,1,0,0
160,2,3,3,3,3,40,No,Travel_Rarely,Sales,26,4,Marketing,1,Female,1,Sales Executive,Married,34820,0,Y,18,8,1,21,2,20,1,12
161,4,4,1,4,1,26,No,Travel_Rarely,Research & Development,3,2,Medical,1,Female,4,Healthcare Representative,Divorced,24360,1,Y,24,8,0,3,2,3,0,2
162,2,3,3,4,1,30,No,Non-Travel,Research & Development,15,3,Medical,1,Female,2,Sales Executive,Married,23800,4,Y,18,8,3,9,2,5,1,4
163,3,3,2,3,3,29,No,Travel_Rarely,Research & Development,8,3,Medical,1,Female,3,Manufacturing Director,Married,194310,1,Y,11,8,0,10,3,10,0,7
164,2,3,3,2,4,29,Yes,Travel_Rarely,Research & Development,19,4,Life Sciences,1,Male,3,Research Scientist,Married,17900,5,Y,16,8,1,6,4,2,1,1
165,3,3,1,4,4,19,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,Male,1,Sales Executive,Single,76440,1,Y,15,8,2,1,2,1,0,0
